side,setup,ticker,score,close,ret1d_%,ret5d_%,ret20d_%,rvol,rsi14,adx14,atr_%,entry,stop,target,rr,shares,earnings,ext_price,ext_chg_%,ext_session,ext_flag,reason
long,PULLBACK,MMM,51.9,166.16,-1.53,-7.08,-8.05,0.17,30.5,28.8,2.13,166.16,160.85,176.78,2.0,18,งบอีก 47 วัน,166.08,-0.05,regular,ok,RSI 31 · %B -0.10 · -7.1% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CSX,50.8,48.36,-0.6,-6.17,-4.62,0.14,33.8,26.5,2.12,48.36,46.82,51.43,2.0,65,งบอีก 49 วัน,48.36,0.0,regular,ok,RSI 34 · %B -0.03 · -6.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,GD,43.1,361.97,-0.58,-4.76,-6.45,0.14,31.6,28.1,1.96,361.97,351.31,383.29,2.0,9,งบอีก 55 วัน,361.97,0.0,regular,ok,RSI 32 · %B -0.03 · -4.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PSA,42.6,299.9,-0.47,-3.63,-8.29,0.09,29.2,19.8,2.08,299.9,290.54,318.62,2.0,10,งบอีก 55 วัน,299.92,0.01,regular,ok,RSI 29 · %B -0.02 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PANW,41.1,329.48,0.3,-13.94,-8.35,0.39,42.2,20.9,5.9,329.48,300.33,387.78,2.0,3,งบอีก 77 วัน,329.54,0.02,regular,ok,RSI 42 · %B 0.05 · -13.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,SPG,39.3,210.11,-0.04,-2.22,-5.28,0.05,31.1,26.8,1.57,210.11,205.16,220.0,2.0,20,งบอีก 60 วัน,210.11,0.0,regular,ok,RSI 31 · %B 0.02 · -2.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,XLI,36.9,172.29,-0.28,-3.64,-6.75,0.26,29.3,25.6,1.44,172.29,168.58,179.71,2.0,26,ไม่ทราบวันงบ,172.31,0.01,regular,ok,RSI 29 · %B 0.06 · -3.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,NSC,36.6,325.46,-1.39,-6.46,-4.96,0.09,35.9,20.8,2.08,325.46,315.31,345.76,2.0,9,งบอีก 49 วัน,325.52,0.02,regular,ok,RSI 36 · %B 0.02 · -6.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,UNP,35.6,286.46,-1.13,-6.89,-3.02,0.11,36.8,25.4,2.2,286.46,277.0,305.4,2.0,10,งบอีก 49 วัน,286.64,0.06,regular,ok,RSI 37 · %B 0.07 · -6.9% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ITW,34.8,268.14,-0.35,-4.8,-9.01,0.11,31.8,22.9,2.04,268.14,259.94,284.53,2.0,12,งบอีก 50 วัน,268.14,0.0,regular,ok,RSI 32 · %B 0.02 · -4.8% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,RTX,33.7,200.47,-0.15,-5.47,-10.2,0.1,33.3,24.8,2.26,200.47,193.68,214.04,2.0,14,งบอีก 47 วัน,200.36,-0.05,regular,ok,RSI 33 · %B 0.04 · -5.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,AMD,31.2,450.29,-1.48,-5.53,-7.97,0.27,41.3,10.8,4.95,450.29,416.84,517.2,2.0,2,งบอีก 61 วัน,450.71,0.09,regular,ok,RSI 41 · %B 0.09 · -5.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BLK,31.0,1113.95,0.62,-4.59,-1.36,0.11,44.8,25.4,2.14,1113.95,1078.19,1185.46,2.0,2,งบอีก 41 วัน,1113.95,0.0,regular,ok,RSI 45 · %B 0.03 · -4.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,PH,31.0,940.16,-0.97,-7.03,-12.12,0.11,33.8,20.2,2.61,940.16,903.4,1013.68,2.0,2,งบอีก 63 วัน,940.16,0.0,regular,ok,RSI 34 · %B 0.01 · -7.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,ASML,30.1,1638.83,-2.58,-5.54,-3.85,0.39,38.2,14.7,3.34,1638.83,1556.68,1803.14,2.0,1,งบอีก 41 วัน,1639.57,0.05,regular,ok,RSI 38 · %B 0.03 · -5.5% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,CROX,29.1,115.32,-0.41,-5.24,-14.06,0.08,33.8,25.7,3.85,115.32,108.65,128.64,2.0,15,งบอีก 56 วัน,115.32,0.0,regular,ok,RSI 34 · %B 0.10 · -5.2% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,EQIX,28.0,1017.93,-0.13,-5.44,-3.32,0.08,39.4,12.6,2.97,1017.93,972.51,1108.77,2.0,2,งบอีก 55 วัน,1017.93,0.0,regular,ok,RSI 39 · %B 0.06 · -5.4% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,BKNG,26.3,197.29,-1.16,-2.6,-4.87,0.15,45.4,23.3,3.26,197.29,187.64,216.59,2.0,10,งบอีก 54 วัน,197.21,-0.04,regular,ok,RSI 45 · %B 0.05 · -2.6% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,EMR,26.2,148.17,-0.54,-6.05,-5.57,0.12,41.0,24.6,2.71,148.17,142.14,160.23,2.0,16,งบอีก 62 วัน,148.17,0.0,regular,ok,RSI 41 · %B 0.05 · -6.0% ใน 5 วัน แต่ยังเหนือ SMA200
long,PULLBACK,MDB,25.5,383.35,2.12,-12.99,3.61,0.47,45.1,23.2,6.25,383.35,347.38,455.28,2.0,2,งบอีก 89 วัน,383.38,0.01,regular,ok,RSI 45 · %B 0.06 · -13.0% ใน 5 วัน แต่ยังเหนือ SMA200
short,RALLYFADE,RBLX,52.1,42.15,2.29,10.5,16.97,0.15,54.9,18.6,5.31,42.15,45.51,35.44,2.0,29,งบอีก 56 วัน,42.17,0.02,regular,ok,RSI 55 · %B 1.05 · +10.5% ใน 5 วัน แต่ยังใต้ SMA200
short,RALLYFADE,TSLA,35.8,377.09,5.62,6.28,18.01,0.73,60.8,22.7,3.78,377.09,398.48,334.31,2.0,4,งบอีก 48 วัน,378.14,0.28,regular,ok,RSI 61 · %B 1.08 · +6.3% ใน 5 วัน แต่ยังใต้ SMA200
